scenario_id,policy,n,router_queue_ms_mean_ms,router_queue_ms_mean_share,scheduler_queue_ms_mean_ms,scheduler_queue_ms_mean_share,kv_transfer_ms_mean_ms,kv_transfer_ms_mean_share,compute_prefill_ms_mean_ms,compute_prefill_ms_mean_share,other_communication_ms_mean_ms,other_communication_ms_mean_share,dominant_component
2026-07-13_prompt6000_three_policy,NEAREST_KV,300,4183.4661520399995,0.29617498422324967,30.307457666666668,0.03352499740889103,0.0,0.0,425.89938879999994,0.6703000183678594,0.0,0.0,router_queue_ms
2026-07-13_prompt6000_three_policy,NEAREST_MIGRATE,300,2468.58792063,0.35121810352343774,57.82935338333333,0.044443086694652315,0.0,0.0,514.32797505,0.6042824084175991,0.13213717333333333,5.640136431095866e-05,router_queue_ms
2026-07-13_prompt6000_three_policy,NEAREST_MIGRATE_KV,300,2063.3759976233328,0.32462817202037914,40.15513694099837,0.03582022925214974,65.45446801566865,0.030143933196555152,444.68664017666663,0.6093487136930769,0.12800788666666668,5.895183783922141e-05,router_queue_ms
2026-07-14_input_reuse_90s_sweep/input10000_reuse00,NEAREST_KV,300,17932.536512893334,0.6139583076187808,95.27145702666667,0.024275849343503336,0.0,0.0,1349.6110554433335,0.3617658430377158,0.0,0.0,router_queue_ms
2026-07-14_input_reuse_90s_sweep/input10000_reuse00,NEAREST_MIGRATE,300,16585.409590293333,0.6151060119708672,101.27898298333334,0.026686087951524756,0.0,0.0,1349.5457413666666,0.3581825843442105,0.19572005,2.5315733397526747e-05,router_queue_ms
2026-07-14_input_reuse_90s_sweep/input10000_reuse00,NEAREST_MIGRATE_KV,300,16585.409590293333,0.6151060119708672,101.27898298333334,0.026686087951524756,0.0,0.0,1349.5457413666666,0.3581825843442105,0.19572005,2.5315733397526747e-05,router_queue_ms
2026-07-14_input_reuse_90s_sweep/input10000_reuse025,NEAREST_KV,300,15075.95595056,0.5751972877650372,70.60188254666667,0.02380910563699182,0.0,0.0,1066.0053406533334,0.400993606597971,0.0,0.0,router_queue_ms
2026-07-14_input_reuse_90s_sweep/input10000_reuse025,NEAREST_MIGRATE,300,14330.86686454,0.5969086817004933,84.66463424666667,0.025387514082602584,0.0,0.0,1158.4371821933332,0.377674683688617,0.1999290833333333,2.912052828721366e-05,router_queue_ms
2026-07-14_input_reuse_90s_sweep/input10000_reuse025,NEAREST_MIGRATE_KV,300,14920.643080256668,0.5893828850463042,81.0318656718972,0.023752960610083845,87.20627287476923,0.011635361460853273,1072.8898705066667,0.375200994487991,0.20834714999999998,2.7798394767654266e-05,router_queue_ms
2026-07-14_input_reuse_90s_sweep/input10000_reuse05,NEAREST_KV,300,12615.266391193334,0.546335134751966,55.73375642999999,0.021275807911495487,0.0,0.0,755.59443803,0.43238905733653854,0.0,0.0,router_queue_ms
